ts,lag,api_total,api_success,api_429,api_429_ratio,duplicates
1782023910,0,0,0,0,0.0000,0
1782023912,0,0,0,0,0.0000,0
1782023914,9500,221,200,21,0.0950,0
1782023916,9500,447,400,47,0.1051,0
1782023919,9000,684,610,74,0.1082,0
1782023921,9000,943,842,101,0.1071,0
1782023923,9000,1192,1063,129,0.1082,0
1782023925,8500,1435,1280,155,0.1080,0
1782023927,8500,1657,1474,183,0.1104,0
1782023929,8000,1873,1661,212,0.1132,0
1782023931,8000,2100,1860,240,0.1143,0
1782023934,7500,2360,2091,269,0.1140,0
1782023936,7500,2592,2295,297,0.1146,0
1782023938,7500,2792,2466,326,0.1168,0
1782023940,7000,3037,2684,353,0.1162,0
1782023942,7000,3261,2881,380,0.1165,0
1782023944,6500,3480,3072,408,0.1172,0
1782023946,6500,3713,3278,435,0.1172,0
1782023948,6500,3940,3478,462,0.1173,0
1782023950,6000,4191,3700,491,0.1172,0
1782023952,6000,4419,3900,519,0.1174,0
1782023954,5500,4648,4100,548,0.1179,0
1782023956,5500,4871,4295,576,0.1183,0
1782023959,5500,5103,4499,604,0.1184,0
1782023961,5000,5326,4694,632,0.1187,0
1782023963,5000,5556,4895,661,0.1190,0
1782023965,4500,5785,5095,690,0.1193,0
1782023967,4500,6009,5291,718,0.1195,0
1782023969,4500,6235,5488,747,0.1198,0
1782023971,4000,6463,5688,775,0.1199,0
1782023973,4000,6691,5888,803,0.1200,0
1782023975,3500,6920,6088,832,0.1202,0
1782023977,3500,7147,6287,860,0.1203,0
1782023979,3500,7376,6487,889,0.1205,0
1782023981,3000,7599,6683,916,0.1205,0
1782023983,3000,7832,6887,945,0.1207,0
1782023985,3000,8028,7055,973,0.1212,0
1782023987,2500,8232,7230,1002,0.1217,0
1782023989,2500,8452,7423,1029,0.1217,0
1782023991,2000,8696,7639,1057,0.1216,0
1782023993,2000,8915,7830,1085,0.1217,0
1782023996,1500,9132,8019,1113,0.1219,0
1782023998,1500,9409,8269,1140,0.1212,0
1782024000,1500,9669,8500,1169,0.1209,0
1782024002,1000,9897,8700,1197,0.1209,0
1782024004,1000,10126,8900,1226,0.1211,0
1782024006,500,10353,9100,1253,0.1210,0
1782024008,500,10579,9300,1279,0.1209,0
1782024010,500,10807,9500,1307,0.1209,0
1782024012,0,11036,9700,1336,0.1211,0
1782024015,0,11251,9887,1364,0.1212,0
1782024017,0,11377,10000,1377,0.1210,0
1782024019,0,11377,10000,1377,0.1210,0
1782024021,0,11377,10000,1377,0.1210,0
1782024023,0,11377,10000,1377,0.1210,0
1782024025,0,11377,10000,1377,0.1210,0
1782024027,0,11377,10000,1377,0.1210,0
1782024029,0,11377,10000,1377,0.1210,0
