ts,lag,api_total,api_success,api_429,api_429_ratio,duplicates
1782024451,0,0,0,0,0.0000,0
1782024453,0,0,0,0,0.0000,0
1782024455,9750,202,200,2,0.0099,0
1782024458,9400,405,400,5,0.0123,0
1782024460,9200,578,570,8,0.0138,0
1782024462,8900,754,742,12,0.0159,0
1782024464,8600,951,935,16,0.0168,0
1782024466,8300,1139,1119,20,0.0176,0
1782024468,8000,1395,1371,24,0.0172,0
1782024470,7700,1593,1565,28,0.0176,0
1782024472,7400,1754,1722,32,0.0182,0
1782024474,7100,1945,1909,36,0.0185,0
1782024476,6800,2147,2107,40,0.0186,0
1782024478,6500,2369,2325,44,0.0186,0
1782024480,6200,2606,2558,48,0.0184,0
1782024482,5900,2792,2740,52,0.0186,0
1782024484,5600,2971,2915,56,0.0188,0
1782024487,5300,3179,3119,60,0.0189,0
1782024489,5000,3400,3336,64,0.0188,0
1782024491,4700,3604,3536,68,0.0189,0
1782024493,4400,3786,3714,72,0.0190,0
1782024495,4100,3984,3908,76,0.0191,0
1782024497,3800,4190,4110,80,0.0191,0
1782024499,3500,4397,4313,84,0.0191,0
1782024501,3200,4607,4519,88,0.0191,0
1782024503,2900,4814,4722,92,0.0191,0
1782024505,2600,5032,4936,96,0.0191,0
1782024507,2300,5235,5135,100,0.0191,0
1782024510,2000,5407,5303,104,0.0192,0
1782024512,1700,5612,5503,109,0.0194,0
1782024514,1350,5814,5701,113,0.0194,0
1782024516,1150,6018,5901,117,0.0194,0
1782024518,850,6170,6050,120,0.0194,0
1782024520,550,6357,6233,124,0.0195,0
1782024522,250,6604,6476,128,0.0194,0
1782024524,0,6732,6601,131,0.0195,0
1782024526,0,6732,6601,131,0.0195,0
1782024528,0,6732,6601,131,0.0195,0
1782024530,0,6732,6601,131,0.0195,0
1782024532,0,6732,6601,131,0.0195,0
1782024534,0,6732,6601,131,0.0195,0
1782024537,0,6732,6601,131,0.0195,0
1782024539,0,6732,6601,131,0.0195,0
1782024541,0,6732,6601,131,0.0195,0
1782024543,0,6732,6601,131,0.0195,0
1782024545,0,6732,6601,131,0.0195,0
1782024547,0,6732,6601,131,0.0195,0
1782024549,0,6732,6601,131,0.0195,0
1782024549,0,6732,6601,131,0.0195,0
1782024552,0,6732,6601,131,0.0195,0
1782024554,0,6732,6601,131,0.0195,0
1782024556,0,6732,6601,131,0.0195,0
1782024558,0,6732,6601,131,0.0195,0
1782024560,0,6732,6601,131,0.0195,0
1782024562,0,6732,6601,131,0.0195,0
1782024565,0,6732,6601,131,0.0195,0
1782024567,0,6732,6601,131,0.0195,0
1782024569,0,6732,6601,131,0.0195,0
