ts,lag,api_total,api_success,api_429,api_429_ratio,duplicates
1782024613,0,0,0,0,0.0000,0
1782024615,0,0,0,0,0.0000,0
1782024617,9800,185,185,0,0.0000,0
1782024619,9650,354,354,0,0.0000,0
1782024621,9500,526,526,0,0.0000,0
1782024623,9300,691,691,0,0.0000,0
1782024625,9150,857,857,0,0.0000,0
1782024627,9000,1020,1020,0,0.0000,0
1782024629,8800,1183,1183,0,0.0000,0
1782024631,8650,1350,1350,0,0.0000,0
1782024633,8500,1516,1516,0,0.0000,0
1782024635,8350,1680,1680,0,0.0000,0
1782024638,8150,1845,1845,0,0.0000,0
1782024640,8000,2014,2014,0,0.0000,0
1782024642,7850,2179,2179,0,0.0000,0
1782024644,7650,2350,2350,0,0.0000,0
1782024646,7500,2518,2518,0,0.0000,0
1782024648,7300,2684,2684,0,0.0000,0
1782024650,7150,2848,2848,0,0.0000,0
1782024652,7000,3018,3018,0,0.0000,0
1782024654,6800,3183,3183,0,0.0000,0
1782024656,6650,3349,3349,0,0.0000,0
1782024658,6500,3526,3526,0,0.0000,0
1782024661,6300,3693,3693,0,0.0000,0
1782024663,6150,3865,3865,0,0.0000,0
1782024665,6000,4031,4031,0,0.0000,0
1782024667,5800,4198,4198,0,0.0000,0
1782024669,5650,4362,4362,0,0.0000,0
1782024671,5500,4527,4527,0,0.0000,0
1782024673,5300,4691,4691,0,0.0000,0
1782024675,5150,4856,4856,0,0.0000,0
1782024677,5000,5022,5022,0,0.0000,0
1782024679,4800,5188,5188,0,0.0000,0
1782024681,4650,5356,5356,0,0.0000,0
1782024683,4500,5521,5521,0,0.0000,0
1782024686,4300,5685,5685,0,0.0000,0
1782024688,4150,5851,5851,0,0.0000,0
1782024690,4000,6018,6018,0,0.0000,0
1782024692,3800,6184,6184,0,0.0000,0
1782024694,3650,6351,6351,0,0.0000,0
1782024696,3500,6516,6516,0,0.0000,0
1782024698,3300,6685,6685,0,0.0000,0
1782024700,3150,6848,6848,0,0.0000,0
1782024702,3000,7013,7013,0,0.0000,0
1782024704,2850,7179,7179,0,0.0000,0
1782024706,2650,7348,7348,0,0.0000,0
1782024708,2500,7516,7516,0,0.0000,0
1782024710,2300,7684,7684,0,0.0000,0
1782024713,2150,7851,7851,0,0.0000,0
1782024715,2000,8015,8015,0,0.0000,0
1782024717,1800,8183,8183,0,0.0000,0
1782024719,1650,8351,8351,0,0.0000,0
1782024721,1500,8516,8516,0,0.0000,0
1782024723,1300,8683,8683,0,0.0000,0
1782024725,1150,8848,8848,0,0.0000,0
1782024727,1000,9013,9013,0,0.0000,0
1782024729,850,9180,9180,0,0.0000,0
1782024731,650,9347,9347,0,0.0000,0
